Ch1_X	Ch1_Y	Ch1_Z	Ch1_phi	Ch1_theta	Ch1_RMS	Ch1_Extra	Ch2_X	Ch2_Y	Ch2_Z	Ch2_phi	Ch2_theta	Ch2_RMS	Ch2_Extra	Ch3_X	Ch3_Y	Ch3_Z	Ch3_phi	Ch3_theta	Ch3_RMS	Ch3_Extra	Ch4_X	Ch4_Y	Ch4_Z	Ch4_phi	Ch4_theta	Ch4_RMS	Ch4_Extra	Ch5_X	Ch5_Y	Ch5_Z	Ch5_phi	Ch5_theta	Ch5_RMS	Ch5_Extra	Ch6_X	Ch6_Y	Ch6_Z	Ch6_phi	Ch6_theta	Ch6_RMS	Ch6_Extra	Ch7_X	Ch7_Y	Ch7_Z	Ch7_phi	Ch7_theta	Ch7_RMS	Ch7_Extra	Ch8_X	Ch8_Y	Ch8_Z	Ch8_phi	Ch8_theta	Ch8_RMS	Ch8_Extra	Ch9_X	Ch9_Y	Ch9_Z	Ch9_phi	Ch9_theta	Ch9_RMS	Ch9_Extra	Ch10_X	Ch10_Y	Ch10_Z	Ch10_phi	Ch10_theta	Ch10_RMS	Ch10_Extra	Ch11_X	Ch11_Y	Ch11_Z	Ch11_phi	Ch11_theta	Ch11_RMS	Ch11_Extra	Ch12_X	Ch12_Y	Ch12_Z	Ch12_phi	Ch12_theta	Ch12_RMS	Ch12_Extra
80.86	28.21	-9.64	87.35	0.38	8.44	0.00	-49.63	87.02	-40.12	130.57	47.63	7.08	0.00	-30.50	-46.22	-41.11	46.22	-64.54	6.19	0.00	42.95	23.41	-49.28	91.66	15.79	9.57	0.00	58.34	26.76	-60.30	120.52	3.03	11.60	0.00	73.63	27.85	-69.59	74.54	25.15	0.58	0.00	79.71	27.04	-84.44	-88.61	-3.68	2.89	0.00	84.15	28.01	-94.49	81.10	0.36	0.60	0.00	97.23	29.53	-59.65	103.06	10.19	4.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
80.86	28.22	-9.63	87.35	0.37	7.12	0.00	-49.61	87.00	-40.12	130.56	47.63	6.65	0.00	-30.52	-46.20	-41.11	46.23	-64.55	6.56	0.00	42.87	23.48	-49.32	91.76	15.98	9.73	0.00	58.35	26.80	-60.43	120.61	3.12	12.34	0.00	73.44	27.88	-69.65	74.60	25.19	0.43	0.00	79.77	27.13	-84.50	-88.58	-3.74	3.57	0.00	84.27	28.06	-94.44	81.11	0.28	0.38	0.00	97.23	29.49	-59.58	103.00	10.11	4.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
80.86	28.23	-9.62	87.35	0.35	7.07	0.00	-49.60	86.97	-40.12	130.56	47.62	7.74	0.00	-30.53	-46.19	-41.11	46.23	-64.56	5.66	0.00	42.86	23.47	-49.32	91.85	16.11	8.31	0.00	58.35	26.81	-60.47	120.68	3.20	11.26	0.00	73.34	27.88	-69.70	74.63	25.21	0.08	0.00	79.84	27.14	-84.49	-88.57	-3.73	3.91	0.00	84.30	28.10	-94.44	81.12	0.27	0.24	0.00	97.24	29.47	-59.57	102.92	10.06	4.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
80.86	28.25	-9.61	87.34	0.34	7.02	0.00	-49.59	86.95	-40.12	130.56	47.62	7.41	0.00	-30.54	-46.18	-41.11	46.23	-64.56	6.07	0.00	42.93	23.38	-49.27	91.92	16.18	9.51	0.00	58.35	26.77	-60.44	120.72	3.28	11.10	0.00	73.35	27.85	-69.71	74.65	25.21	0.20	0.00	79.88	27.08	-84.44	-88.58	-3.67	3.47	0.00	84.24	28.11	-94.48	81.12	0.32	0.36	0.00	97.26	29.48	-59.59	102.84	10.03	4.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
80.86	28.25	-9.60	87.34	0.33	6.95	0.00	-49.58	86.93	-40.12	130.55	47.61	6.67	0.00	-30.55	-46.17	-41.11	46.23	-64.57	5.19	0.00	43.01	23.29	-49.21	91.98	16.24	8.00	0.00	58.37	26.73	-60.42	120.70	3.38	11.10	0.00	73.40	27.81	-69.71	74.63	25.21	1.65	0.00	79.86	27.03	-84.42	-88.59	-3.64	3.23	0.00	84.19	28.09	-94.50	81.13	0.35	0.05	0.00	97.28	29.47	-59.59	102.77	9.99	4.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
80.86	28.26	-9.59	87.34	0.32	6.83	0.00	-49.57	86.92	-40.12	130.55	47.61	6.69	0.00	-30.56	-46.16	-41.11	46.23	-64.57	5.03	0.00	43.04	23.27	-49.18	92.01	16.33	8.43	0.00	58.37	26.71	-60.46	120.64	3.53	10.77	0.00	73.40	27.77	-69.73	74.58	25.21	0.15	0.00	79.80	27.02	-84.47	-88.58	-3.66	2.69	0.00	84.17	28.07	-94.51	81.14	0.34	0.06	0.00	97.28	29.44	-59.57	102.72	9.93	4.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
80.86	28.27	-9.58	87.33	0.31	7.51	0.00	-49.56	86.91	-40.13	130.55	47.61	6.14	0.00	-30.56	-46.16	-41.11	46.23	-64.58	5.82	0.00	43.00	23.29	-49.20	92.03	16.46	9.03	0.00	58.33	26.72	-60.50	120.55	3.73	10.71	0.00	73.34	27.76	-69.76	74.51	25.23	0.61	0.00	79.74	27.04	-84.55	-88.56	-3.67	3.08	0.00	84.16	28.05	-94.52	81.15	0.30	0.61	0.00	97.28	29.42	-59.58	102.69	9.91	4.58	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
80.86	28.27	-9.58	87.33	0.31	6.73	0.00	-49.56	86.90	-40.13	130.54	47.61	6.98	0.00	-30.57	-46.15	-41.11	46.23	-64.58	6.00	0.00	42.96	23.28	-49.24	92.04	16.59	9.38	0.00	58.27	26.74	-60.49	120.47	3.92	11.56	0.00	73.26	27.75	-69.82	74.45	25.26	0.98	0.00	79.74	27.03	-84.57	-88.56	-3.65	3.42	0.00	84.13	28.04	-94.53	81.15	0.29	0.61	0.00	97.28	29.44	-59.65	102.67	9.93	4.86	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
80.86	28.27	-9.58	87.33	0.30	7.09	0.00	-49.56	86.89	-40.13	130.54	47.61	7.25	0.00	-30.57	-46.15	-41.11	46.23	-64.59	4.84	0.00	42.98	23.24	-49.27	92.05	16.70	8.18	0.00	58.24	26.69	-60.44	120.42	4.04	10.75	0.00	73.17	27.74	-69.89	74.41	25.28	0.82	0.00	79.78	26.97	-84.53	-88.57	-3.61	2.26	0.00	84.12	28.02	-94.54	81.14	0.29	0.23	0.00	97.26	29.46	-59.71	102.67	9.97	4.78	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
80.86	28.27	-9.58	87.33	0.30	7.07	0.00	-49.56	86.89	-40.13	130.53	47.61	7.43	0.00	-30.57	-46.15	-41.11	46.23	-64.59	5.63	0.00	43.01	23.20	-49.29	92.04	16.80	9.13	0.00	58.24	26.61	-60.39	120.40	4.11	11.04	0.00	73.09	27.71	-69.95	74.40	25.28	0.18	0.00	79.81	26.93	-84.50	-88.58	-3.61	2.19	0.00	84.12	27.99	-94.54	81.13	0.31	0.19	0.00	97.22	29.45	-59.71	102.70	9.99	4.48	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
80.86	28.27	-9.58	87.32	0.30	7.64	0.00	-49.57	86.89	-40.13	130.53	47.61	7.24	0.00	-30.56	-46.14	-41.11	46.23	-64.59	6.02	0.00	42.96	23.20	-49.34	92.03	16.92	9.16	0.00	58.23	26.52	-60.35	120.39	4.19	11.33	0.00	73.03	27.68	-69.98	74.41	25.26	0.02	0.00	79.76	26.94	-84.54	-88.57	-3.64	3.26	0.00	84.14	27.97	-94.56	81.14	0.33	0.33	0.00	97.16	29.44	-59.64	102.76	9.99	4.69	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
80.86	28.27	-9.58	87.32	0.30	7.57	0.00	-49.58	86.90	-40.13	130.53	47.61	7.15	0.00	-30.56	-46.14	-41.11	46.23	-64.60	5.17	0.00	42.83	23.22	-49.39	92.02	17.06	9.10	0.00	58.19	26.48	-60.33	120.36	4.31	10.68	0.00	73.02	27.69	-70.01	74.44	25.21	1.21	0.00	79.67	26.99	-84.64	-88.55	-3.63	2.80	0.00	84.12	27.96	-94.60	81.16	0.35	0.71	0.00	97.13	29.44	-59.59	102.83	9.99	4.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
